National Register of Historic Places,,,,,,,,,,
National Historic Landmarks Documentation,,,,,,,,,,
Note:  Not all NHLs have been digitized yet,,,,,,,,,,
,,,,,,,,,,
Reference,State,County,City,Resource,Address,Date Listed,,Text,,Photos
Number,,,,Name,,on NR,,Click me,,Click me
74000398,ALABAMA             ,Baldwin                 ,Stockton                            ,Bottle Creek Indian Mounds                                                                                              ,Address Restricted                                                                                                      ,19741202,http://pdfhost.focus.nps.gov/docs/nhls/text/74000398.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/74000398.PDF,Photos
66000146,ALABAMA             ,Baldwin                 ,Gasque                              ,Fort Morgan                                                                                                             ,Western terminus of AL 180                                                                                              ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000146.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000146.PDF,Photos
76002259,ALABAMA             ,Barbour                 ,Clayton                             ,"Clayton, Henry D., House                                                                                                ",1 mi. S of Clayton off AL 30                                                                                            ,19761208,http://pdfhost.focus.nps.gov/docs/nhls/text/76002259.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/76002259.PDF,Photos
73000337,ALABAMA             ,Colbert                 ,Cherokee                            ,Barton Hall                                                                                                             ,2.5 mi. (4 km) W of Cherokee on U.S. 72                                                                                 ,19731107,http://pdfhost.focus.nps.gov/docs/nhls/text/73000337.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/73000337.PDF,Photos
70000101,ALABAMA             ,Colbert                 ,Tuscumbia                           ,Ivy Green                                                                                                               ,300 W. North Common                                                                                                     ,19700825,http://pdfhost.focus.nps.gov/docs/nhls/text/70000101.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/70000101.PDF,Photos
66000147,ALABAMA             ,Colbert                 ,Florence                            ,Wilson Dam                                                                                                              ,Tennessee River on AL 133                                                                                               ,19661113,http://pdfhost.focus.nps.gov/docs/nhls/text/66000147.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000147.PDF,Photos
82002009,ALABAMA             ,Dallas                  ,Selma                               ,Brown Chapel African Methodist Episcopal Church                                                                         ,"410 Martin Luther King, Jr. St.                                                                                         ",19820204,http://pdfhost.focus.nps.gov/docs/nhls/text/82002009.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/82002009.PDF,Photos
13000281,ALABAMA             ,Dallas                  ,Selma                               ,Edmund Pettus Bridge                                                                                                    ,"US 80, MP 85.415                                                                                                        ",20130227,http://pdfhost.focus.nps.gov/docs/nhls/text/13000281.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/13000281.PDF,Photos
66000148,ALABAMA             ,Elmore                  ,Wetumpka                            ,Fort Toulouse                                                                                                           ,4 mi (6.4 km) SW of Wetumpka at confluence of the Coosa and Tallapoosa rivers                                           ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000148.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000148.PDF,Photos
66000149,ALABAMA             ,Hale                    ,Moundville                          ,Moundville                                                                                                              ,1 mi. (1.6 km) W of Moundville on SR 21                                                                                 ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000149.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000149.PDF,Photos
73000347,ALABAMA             ,Hale                    ,Prairieville                        ,St. Andrew's Church                                                                                                     ,U.S. 80                                                                                                                 ,19731107,http://pdfhost.focus.nps.gov/docs/nhls/text/73000347.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/73000347.PDF,Photos
05000455,ALABAMA             ,Jefferson               ,Collegeville                        ,"Bethel Baptist Church, Parsonage, and Guardhouse                                                                        ","3233, 3232, and 3236 29th Avenue North                                                                                  ",20050405,http://pdfhost.focus.nps.gov/docs/nhls/text/05000455.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/05000455.PDF,Photos
80000696,ALABAMA             ,Jefferson               ,Birmingham                          ,Sixteenth Street Baptist Church                                                                                         ,1530 6th Ave. North at 16th St.                                                                                         ,19800917,http://pdfhost.focus.nps.gov/docs/nhls/text/80000696.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/80000696.PDF,Photos
72000162,ALABAMA             ,Jefferson               ,Birmingham                          ,Sloss Blast Furnace Site                                                                                                ,1st Ave. at 32nd St.                                                                                                    ,19720622,http://pdfhost.focus.nps.gov/docs/nhls/text/72000162.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/72000162.PDF,Photos
66000151,ALABAMA             ,Macon                   ,Tuskegee                            ,Tuskegee Institute National Historic Site                                                                               ,1 mi. NW of Tuskegee on U.S. 80                                                                                         ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000151.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000151.PDF,Photos
74000420,ALABAMA             ,Madison                 ,Huntsville                          ,Episcopal Church of the Nativity                                                                                        ,212 Eustis St.                                                                                                          ,19741009,http://pdfhost.focus.nps.gov/docs/nhls/text/74000420.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/74000420.PDF,Photos
85002807,ALABAMA             ,Madison                 ,Huntsville                          ,Neutral Buoyancy Space Simulator                                                                                        ,George C. Marshall Space Flight Center                                                                                  ,19851003,http://pdfhost.focus.nps.gov/docs/nhls/text/85002807.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/85002807.PDF,Photos
85002804,ALABAMA             ,Madison                 ,Huntsville                          ,Propulsion and Structural Test Facility                                                                                 ,George C. Marshall Space Flight Center                                                                                  ,19851003,http://pdfhost.focus.nps.gov/docs/nhls/text/85002804.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/85002804.PDF,Photos
76000341,ALABAMA             ,Madison                 ,Huntsville                          ,Redstone Test Stand                                                                                                     ,George C. Marshall Space Flight Center                                                                                  ,19760513,http://pdfhost.focus.nps.gov/docs/nhls/text/76000341.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/76000341.PDF,Photos
85002806,ALABAMA             ,Madison                 ,Huntsville                          ,Saturn V Dynamic Test Stand                                                                                             ,George C. Marshall Space Flight Center                                                                                  ,19851003,http://pdfhost.focus.nps.gov/docs/nhls/text/85002806.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/85002806.PDF,Photos
78000500,ALABAMA             ,Madison                 ,Huntsville                          ,Saturn V Space Vehicle                                                                                                  ,Tranquility Base                                                                                                        ,19781122,http://pdfhost.focus.nps.gov/docs/nhls/text/78000500.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/78000500.PDF,Photos
72000167,ALABAMA             ,Marengo                 ,Demopolis                           ,Gaineswood                                                                                                              ,805 S. Cedar St.                                                                                                        ,19720105,http://pdfhost.focus.nps.gov/docs/nhls/text/72000167.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/72000167.PDF,Photos
92001885,ALABAMA             ,Mobile                  ,Mobile                              ,Government Street Presbyterian Church                                                                                   ,300 Government St.                                                                                                      ,19921005,http://pdfhost.focus.nps.gov/docs/nhls/text/92001885.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/92001885.PDF,Photos
69000034,ALABAMA             ,Mobile                  ,Mobile                              ,Mobile City Hall                                                                                                        ,111 S. Royal St.                                                                                                        ,19691203,http://pdfhost.focus.nps.gov/docs/nhls/text/69000034.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/69000034.PDF,Photos
86000083,ALABAMA             ,Mobile                  ,Mobile                              ,USS ALABAMA (battleship)                                                                                                ,Battleship Pkwy.                                                                                                        ,19860114,http://pdfhost.focus.nps.gov/docs/nhls/text/86000083.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/86000083.PDF,Photos
