Ulster,-74.1789,41.6843271513,Tuthilltown Gristmill
New York,-73.9321,40.8623481364,Fort Tryon Park And The Cloisters
Nassau,-73.5572,40.8619160063,Planting Fields Arboretum
St. Lawrence,-74.987,44.6696682577,Market Street Historic District
Albany,-73.926,42.4693353744,Alcove Historic District
Oneida,-75.3378,43.4845529235,Boonville Historic District
Monroe,-77.5802,43.1513948689,East Avenue Historic District
Oneida,-75.3783,42.930654835,Waterville Triangle Historic District
Albany,-73.7339,42.7078635483,Albany Rural Cemetery
Dutchess,-73.9408,41.7106498985,Poughkeepsie Railroad Bridge
Nassau,-73.5583,40.8793332205,"Dodge, Lillian Sefton, Estate"
St. Lawrence,-74.901,44.7133485322,West Stockholm Historic District
Chemung,-76.8215,42.1629244737,Horseheads 1855 Extension Historic District
Columbia,-73.8092,42.2457323443,"Wiswall, Oliver, House"
Orange,-74.3186,41.4021816413,Historic Track
Otsego,-74.9262,42.7027129982,Cooperstown Historic District
Putnam,-73.9343,41.4058315514,DeRham Farm
Schenectady,-73.9202,42.816950569,General Electric Realty Plot
Chenango,-75.782,42.6471943133,South Otselic Historic District
Kings,-73.9936,40.6801293982,Carroll Gardens Historic District
New York,-73.9473,40.8231056447,Hamilton Heights Historic District
New York,-73.9582,40.8158656536,IRT Broadway Line Viaduct
Washington,-73.5843,43.3011604739,Hudson Falls Historic District
Westchester,-73.6857,41.2578313683,Katonah Village Historic District
Chemung,-76.8162,42.0866399413,Near Westside Historic District
Columbia,-73.8129,42.0899068508,Bouwerie
Cortland,-75.9025,42.5425663756,Cincinnatus Historic District
Delaware,-74.7806,42.1900329916,Andes Historic District
Kings,-73.9736,40.6889735654,Fort Greene Historic District
Orange,-74.3567,41.2594507903,Warwick Village Historic District
Queens,-73.8938,40.5609037891,Fort Tilden Historic District
Suffolk,-72.3625,41.1067821685,Greenport Village Historic District
Tioga,-76.1879,42.2840464129,Belcher Family Homestead and Farm
Schenectady,-74.2102,42.7931589607,Hawes Homestead
